                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.11818,                0.98667,                      1,                0.15948,             0.00023483,             0.00023483,             0.00023483
                      2,                0.00729,                0.99333,                      1,                 0.1513,             0.00042602,             0.00042602,             0.00042602
                      3,                0.00569,                0.99333,                      1,                0.15076,             0.00057008,             0.00057008,             0.00057008
                      4,                0.00133,                0.99667,                      1,                0.14847,             0.00050194,             0.00050194,             0.00050194
                      5,                0.00033,                0.99333,                      1,                0.14862,             0.00050194,             0.00050194,             0.00050194
                      6,                 0.0007,                0.99333,                      1,                0.14879,             0.00043126,             0.00043126,             0.00043126
                      7,                0.00031,                0.99667,                      1,                0.14841,             0.00036057,             0.00036057,             0.00036057
                      8,                0.00017,                0.99667,                      1,                0.14849,             0.00028988,             0.00028988,             0.00028988
                      9,                 0.0001,                0.99667,                      1,                 0.1487,              0.0002192,              0.0002192,              0.0002192
                     10,                  7e-05,                0.99667,                      1,                0.14852,             0.00014851,             0.00014851,             0.00014851
