                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                  1e-05,                      1,                      1,                 0.1532,             0.00024747,             0.00024747,             0.00024747
                     69,                  3e-05,                      1,                      1,                0.15325,              0.0002404,              0.0002404,              0.0002404
                     70,                  1e-05,                      1,                      1,                0.15328,             0.00023334,             0.00023334,             0.00023334
                     71,                  1e-05,                      1,                      1,                0.15342,             0.00022627,             0.00022627,             0.00022627
                     72,                  1e-05,                      1,                      1,                0.15318,              0.0002192,              0.0002192,              0.0002192
                     73,                  2e-05,                      1,                      1,                0.15322,             0.00021213,             0.00021213,             0.00021213
                     74,                0.00013,                      1,                      1,                0.15325,             0.00020506,             0.00020506,             0.00020506
                     75,                  2e-05,                  0.996,                      1,                0.15387,             0.00019799,             0.00019799,             0.00019799
                     76,                  4e-05,                      1,                      1,                0.15321,             0.00019092,             0.00019092,             0.00019092
                     77,                0.00069,                  0.992,                      1,                0.15668,             0.00018385,             0.00018385,             0.00018385
                     78,                0.00026,                  0.992,                      1,                0.15681,             0.00017679,             0.00017679,             0.00017679
                     79,                0.00013,                      1,                      1,                0.15388,             0.00016972,             0.00016972,             0.00016972
                     80,                  2e-05,                      1,                      1,                0.15361,             0.00016265,             0.00016265,             0.00016265
                     81,                  4e-05,                      1,                      1,                 0.1535,             0.00015558,             0.00015558,             0.00015558
                     82,                  2e-05,                      1,                      1,                0.15348,             0.00014851,             0.00014851,             0.00014851
                     83,                  2e-05,                      1,                      1,                0.15353,             0.00014144,             0.00014144,             0.00014144
                     84,                  2e-05,                      1,                      1,                0.15345,             0.00013437,             0.00013437,             0.00013437
                     85,                  1e-05,                      1,                      1,                0.15355,             0.00012731,             0.00012731,             0.00012731
                     86,                  1e-05,                      1,                      1,                0.15343,             0.00012024,             0.00012024,             0.00012024
                     87,                  1e-05,                      1,                      1,                0.15345,             0.00011317,             0.00011317,             0.00011317
                     88,                  3e-05,                      1,                      1,                0.15351,              0.0001061,              0.0001061,              0.0001061
                     89,                  1e-05,                      1,                      1,                0.15353,             9.9032e-05,             9.9032e-05,             9.9032e-05
                     90,                  1e-05,                      1,                      1,                0.15372,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     91,                  2e-05,                      1,                      1,                0.15362,             8.4895e-05,             8.4895e-05,             8.4895e-05
                     92,                  2e-05,                      1,                      1,                0.15354,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     93,                  1e-05,                      1,                      1,                0.15351,             7.0757e-05,             7.0757e-05,             7.0757e-05
                     94,                  2e-05,                      1,                      1,                 0.1536,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     95,                  1e-05,                      1,                      1,                0.15348,              5.662e-05,              5.662e-05,              5.662e-05
                     96,                  1e-05,                      1,                      1,                0.15349,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     97,                  2e-05,                      1,                      1,                0.15343,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     98,                  1e-05,                      1,                      1,                0.15349,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     99,                  3e-05,                      1,                      1,                0.15354,             2.8346e-05,             2.8346e-05,             2.8346e-05
                    100,                  1e-05,                      1,                      1,                0.15355,             2.1277e-05,             2.1277e-05,             2.1277e-05
