                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.27216,                 1.6368,                 1.0321,                 0.7875,                 0.7717,                0.97692,                0.80497,                0.55868,                 2.3802,                0.76793,             0.00054685,             0.00054685,             0.00054685
                      2,                0.15183,                0.85306,                 0.9297,                0.97137,                0.96374,                0.99472,                 0.9946,                0.24509,                  1.213,                0.37234,             0.00055677,             0.00055677,             0.00055677
